timestamp,src_ip,dst_ip,src_port,dst_port,protocol,duration,packets,bytes,src_bytes,dst_bytes,src_packets,dst_packets,tcp_flags,label
2026-01-01T00:00:00+00:00,10.10.0.10,10.20.0.20,50000,53,UDP,1.5,18,7560,3931,3628,9,9,,benign
2026-01-01T00:00:10+00:00,10.10.1.11,10.20.1.21,50001,80,TCP,1.73,19,7999,4159,3839,10,9,"ACK,PSH",benign
2026-01-01T00:00:20+00:00,10.10.2.12,10.20.2.22,50002,443,TCP,1.96,20,8440,4388,4051,10,10,"ACK,PSH",benign
2026-01-01T00:00:30+00:00,10.10.3.13,10.20.3.23,50003,123,UDP,2.19,21,8883,4619,4263,11,10,,benign
2026-01-01T00:00:40+00:00,10.10.4.14,10.20.4.24,50004,53,UDP,2.42,22,9328,4850,4477,11,11,,benign
2026-01-01T00:00:50+00:00,10.10.5.15,10.20.5.25,50005,80,TCP,2.65,23,9775,5083,4692,12,11,"ACK,PSH",benign
2026-01-01T00:01:00+00:00,10.10.6.16,10.20.0.26,50006,443,TCP,2.88,24,10224,5316,4907,12,12,"ACK,PSH",benign
2026-01-01T00:01:10+00:00,10.10.7.17,10.20.1.27,50007,123,UDP,3.11,25,10675,5551,5124,13,12,,benign
2026-01-01T00:01:20+00:00,10.10.0.18,10.20.2.28,50008,53,UDP,3.34,26,11128,5786,5341,13,13,,benign
2026-01-01T00:01:30+00:00,10.10.1.19,10.20.3.29,50009,80,TCP,3.57,27,11583,6023,5559,14,13,"ACK,PSH",benign
2026-01-01T00:01:40+00:00,10.10.2.20,10.20.4.30,50010,443,TCP,3.8,28,12040,6260,5779,14,14,"ACK,PSH",benign
2026-01-01T00:01:50+00:00,10.10.3.21,10.20.5.31,50011,123,UDP,4.03,29,12499,6499,5999,15,14,,benign
2026-01-01T00:02:00+00:00,10.10.4.22,10.20.0.32,50012,53,UDP,4.26,30,12960,6739,6220,15,15,,benign
